study_name	BioProject	sample_id	NCBI_accession	uuid
QianY_2020	PRJNA433459	SAMN08511838	SRR10983090	d0e43c97-bdcb-4271-8a2a-b8d0ed7e0bfd
QianY_2020	PRJNA433459	SAMN08512090	SRR10983089	14fc77ff-4289-4e04-a560-0dd36e01777e
QianY_2020	PRJNA433459	SAMN08516730	SRR10983078	fade6d20-b8ae-4a2d-a5e6-f1b2eec67792
QianY_2020	PRJNA433459	SAMN08516731	SRR10983067	69aeedfd-0f98-4b9e-bdcf-5c3fa5af7e64
QianY_2020	PRJNA433459	SAMN08516732	SRR10983056	0ff9cb18-c044-4cac-be8c-46aaac18ac22
QianY_2020	PRJNA433459	SAMN08516733	SRR10983045	5fbf3a34-5866-4d77-bb45-dc1e0cfcf52a
QianY_2020	PRJNA433459	SAMN08516734	SRR10983034	ee410402-efbc-4aa3-9b76-32405eb57334
QianY_2020	PRJNA433459	SAMN08516735	SRR10983023	c1ce16b0-c799-46ea-a9e3-72cbeecf5eea
QianY_2020	PRJNA433459	SAMN08516736	SRR10983012	36add6ce-84d4-4261-8adf-0a409e508a39
QianY_2020	PRJNA433459	SAMN08516737	SRR10983011	7670a58d-689a-44f3-82fb-5d99fa57c3c4
QianY_2020	PRJNA433459	SAMN08516738	SRR10983088	d6971a28-1e17-4a2d-b229-125a89c92e10
QianY_2020	PRJNA433459	SAMN08516739	SRR10983087	64fbdb34-2c2b-4f45-b6b1-4d72beabb187
QianY_2020	PRJNA433459	SAMN08516740	SRR10983086	1dac26fb-2aa4-418a-9b5d-a407fa14615a
QianY_2020	PRJNA433459	SAMN08516741	SRR10983085	a9dc399e-28b2-402f-8d07-19d0c847c7d4
QianY_2020	PRJNA433459	SAMN08516742	SRR10983084	fee77a95-d039-4d83-b992-c347147722f9
QianY_2020	PRJNA433459	SAMN08516743	SRR10983083	317f8251-eae2-4723-a3b1-854f5656cd6b
QianY_2020	PRJNA433459	SAMN08516744	SRR10983082	1ac63a8d-68f4-4a1c-a622-bc2c2cf46cbb
QianY_2020	PRJNA433459	SAMN08516745	SRR10983081	dc2abf11-7477-4e6e-996e-044acde5cbbd
QianY_2020	PRJNA433459	SAMN08516746	SRR10983080	ecdfdad1-47bb-4218-a29c-e826e57c4b9a
QianY_2020	PRJNA433459	SAMN08516747	SRR10983079	857fc358-52a8-4547-bd6b-8461c01f9233
QianY_2020	PRJNA433459	SAMN08516748	SRR10983077	a7a3d1c4-ca9b-42ae-9ee1-7e97f6921a00
QianY_2020	PRJNA433459	SAMN08516749	SRR10983076	8fe6803b-5feb-432a-a459-7177f163c278
QianY_2020	PRJNA433459	SAMN08516750	SRR10983075	62e8e0ae-fc21-4d8b-bcb0-e09a8c0fa7cb
QianY_2020	PRJNA433459	SAMN08516751	SRR10983074	d0cfb6c6-4e4c-42b2-8035-8b94509f4615
QianY_2020	PRJNA433459	SAMN08516752	SRR10983073	4a282484-9b05-4370-9e7a-083138e71733
QianY_2020	PRJNA433459	SAMN08516753	SRR10983072	dfd20c93-169a-4c1d-ac80-05bc56a74912
QianY_2020	PRJNA433459	SAMN08516754	SRR10983071	c8670551-264b-4bd8-819b-5f6ded6984ce
QianY_2020	PRJNA433459	SAMN08516755	SRR10983070	b29fe1cf-9898-4f19-9ee1-ec51193ae0de
QianY_2020	PRJNA433459	SAMN08516756	SRR10983069	24a41a2e-27fc-4ef9-a76e-72831110eae5
QianY_2020	PRJNA433459	SAMN08516757	SRR10983068	75a42dad-7bcd-4f53-bb19-ae6cd516ffd0
QianY_2020	PRJNA433459	SAMN08516758	SRR10983066	17c092f3-0125-4baa-8136-aaf2d0759e53
QianY_2020	PRJNA433459	SAMN08516759	SRR10983065	10776930-9ec4-4aab-9b74-72d7422d7d89
QianY_2020	PRJNA433459	SAMN08516760	SRR10983064	c6359afe-08b2-496c-87bd-0b65c1f20862
QianY_2020	PRJNA433459	SAMN08516761	SRR10983063	9f89486e-3643-482e-83c5-70a1fd521b87
QianY_2020	PRJNA433459	SAMN08516762	SRR10983062	f55fa933-d3f7-474e-95f4-0d889b820b39
QianY_2020	PRJNA433459	SAMN08516763	SRR10983061	83a69fdb-983a-4775-98a4-fd7615ebd122
